marca;codigoInterno;nombre;categoria;descripcion;precio;stock
Black Panther;BP-CDDK15ZII;Apiladores a bateria 1,5nt // 4,5 mm // pu  - black panther bp-cddk15zii ;Construccion_Carga;"Especificaciones de producto
Capacidad de carga/carga nominal Q (kg): 1500
Distancia del centro de carga C (mm): 600
Distancia de carga, centro del eje motriz a la horquilla X (mm): 672
Altura de la horquilla, bajada h13 (mm): 85
Tamaño de neumático, delantero (mm): ? 250×70
Tamaño de neumático, trasero (mm): ? 80×84
Ruedas adicionales dimensiones (mm): ? 150×60
Numero de ruedas delanteras traseras (X=ruedas motrices): 1x+2/4
Altura mástil bajado h1 (mm): 2050
Elevación libre (opción 2500-3500 mm) h2 (mm): 1570
Altura máxima de elevación h3 (mm): 4500
Altura mástil extendido h4 (mm): 5030
Altura del timón en posición de conducción min/máx. h14 (mm): 1150/1450
Longitud total l1 (mm): 2100
Longitud hasta la cara de las horquillas l2 (mm): 950
Ancho total b1 (mm): 850
Dimensiones de la horquilla s/e/l (mm): 1150
Ancho total de las horquillas b5 (mm): 695
Ancho de pasillo para pallets 800×1200 longitudinalmente ast (mm): 2515
Radio de giro wa (mm): 1655
Velocidad de desplazamiento, con/sin carga (km/h): 7/7.1
Velocidad de elevación, cargada/descargada (m/s): 0.11/0.16
Velocidad de descenso, cargada/descargada (m/s): 0.14/0.19";5.738.477,00;1
Black Panther;BP-CDDK20;Apiladores a bateria 2,0nt // 6,5 mm // pu  - black panther bp-cddk20 ;Construccion_Carga;"Especificaciones de producto
Capacidad de carga/carga nominal Q (kg): 2000
Distancia del centro de carga C (mm): 500
Distancia de carga, centro del eje motriz a la horquilla X (mm): 672
Tamaño de neumático, delantero (mm): ? 250×80 (EPS)
Tamaño de neumático, trasero (mm): ? 80×84
Ruedas adicionales dimensiones (mm): ? 150×60
Número de ruedas delanteras traseras (X=ruedas motrices): 1x+2/4
Altura mástil bajado h1 (mm): 2710
Elevación libre h2 (mm): 2240
Altura máxima de elevación h3 (mm): 6500
Altura mástil extendido h4 (mm): 7050
Altura del timón en posición de conducción min/máx. h14 (mm): 1150/1450
Altura de la horquilla, bajada h13 (mm): 90
Longitud total l1 (mm): 2180
Longitud hasta la cara de las horquillas l2 (mm): 950
Ancho total b1 (mm): 950
Dimensiones de la horquilla s/e/l (mm): 1150
Ancho total de las horquillas b5 (mm): 695
Ancho de pasillo para pallets 800×1200 longitudinalmente ast (mm): 2595
Radio de giro wa (mm): 1735
Velocidad de desplazamiento, con/sin carga km/h: 7/7.1
Velocidad de elevacion, cargada/descargada m/s: 0,11/0,16";7.721.156,00;1
Black Panther;BP-VP80L65;Apisonador vibroapisonador 6.5hp - black panther bp-vp80l65 ;Construccion_Motoimplementos;"- Motor 6.5hp
- Salto de altura 40-65mm
- Frecuencia 420-650
- Peso 85 kg.
- Velocidad de avance 10-13 m/min
- Fuerza de impacto 1000N
- Placa de impacto 300x330mm";1.974.724,00;2
Black Panther;BP-AS12REF;Arco de Sierra 12'' ;Herramientas manuales_Corte y desbaste;;12.431,00;32
Black Panther;BP-MFREP1;ARNES  - Black Panther BP-MFREP1 ;Repuestos;;462;1
Black Panther;BP-D52CC_REP.8;Arnes Reforzado para Desmalezadora Black Panther ;Repuestos;;13.140,00;19
Black Panther;BP-AH500L13;Aserradora de Hormigon Loncin G390F 13Hp - Corte 12 a 18'' - Capacidad Agua 35L - Black Panther BP-AH500L13 ;Construccion_Motoimplementos;"Motor: Loncin G390F
Potencia: 13 Hp
Tamaño del disco: 30-45 cm
Profundidad del corte: 14 cm
Avance: manual
Tanque de agua: 35 L
Tanque de combustible: 6,5 L";2.034.338,00;1
Black Panther;BP-GE8000MEREP.1;Avr para generador black panther ge8000m ;Repuestos;;8.911,00;22
Black Panther;BP-BT18MM;Barreta Saca Clavo  x 18mm 700 mm x 18  - Black Panther BP-BT18MM ;Herramientas manuales_Fijacion;;12.299,00;8
Black Panther;BP-BT19MM;Barreta Saca Clavo x 19MM 19x900mm - BP-BT19MM ;Herramientas manuales_Mazas y martillos;;17.460,00;7
Black Panther;BP-HBBT2A;Bateria 20v - 2.0Ah - Black Panther BP-HBBT2A ;Accesorios;"- Batería de Ion Litio
- Tensión Máxima: 20V
- Carga Nominal: 2.0AH";43.254,00;92
Black Panther;BP-HBBT4A;Bateria 20v - 4.0Ah - Black Panther BP-HBBT4A ;Accesorios;"- Batería de Ion Litio
- Tensión Máxima: 20V
- Carga Nominal: 4.0AH";72.090,00;178
Black Panther;NO-31;BINZEL LINER 1.0-2.1MM - 4.55M  - Black Panther NO-31 ;Accesorios;;1.464,00;13
Black Panther;BP-BH003;Bolso de Herramientas 11 Litros Piso Reforzado Plastico 35x18x22cm ;Almacenamiento_Bolsos y mochilas;;25.237,00;18
Black Panther;BP-BH004;Bolso de Herramientas 15 Litros Piso Reforzado Plástico 40x20x25cm ;Almacenamiento_Bolsos y mochilas;;28.995,00;9
Black Panther;BP-BH002;Bolso de Herramientas 9 Litros Piso de Tela 30x17x21cm ;Almacenamiento_Bolsos y mochilas;;12.350,00;47
Black Panther;BP-BQB60;Bomba Periferica 35 L/m 0.5 Hp - Black Panther BP-BQB60 ;Jardin y agro_Riego;"- Potencia: 0.37kw 
- Voltaje: 220v
- RPM: 2900
- Succión Máx: 8m
- Elevación Máx: 32m
- Caudal Máx: 35L/Min
- Salida: 1''x1''
- Temperatura Máx: 35°C
- Diam. Estator 90-100P (50mm)
- IP54
- Fabricado en China";42.560,00;452
Black Panther;BP-D52CC_R0007;Cabezal de Tanza ;Repuestos;;7.494,00;946
Black Panther;BP-AV45;Cabezal Sonda Eje Flexible 45 mm Encastre Dinapac  - Black Panther BP-AV45 ;Repuestos;"- Largo: 6 metros
- Diámetro del cabezal: 38 mm
- Tipo de sonda: Malasia con transmisión
- Apto para uso en vibradores a explosión o eléctricos";186.791,00;2
Black Panther;BP-GE4500IE_R0001;Cables y Enchufes para Conexion en Paralelo ;Repuestos;;61.979,00;2
Black Panther;BP-RCM2;Cadena 0.325, 0.58,1.5 mm  - Black Panther BP-RCM2 ;Consumibles;"- Rollo x 30,5Mts
- Paso 0.325''
- Espesor 1,5 mm (0,058'')
- Angulo Afilado 30°";417.571,00;14
Black Panther;BP-RCM3;Cadena 0.325, 0.58,1.5 mm  - Black Panther BP-RCM3 ;Consumibles;;417.571,00;2
Black Panther;BP-RCM2M;Cadena 0.325, 0.58,1.5 mm POR METRO - Black Panther BP-RCM2M ;Consumibles;;13.691,00;2,7
Black Panther;BP-RCM1;Cadena para motosierra 3/8 PICCO ,0.5, 1.3 mm  - Black Panther BP-RCM1 ;Consumibles;"- Rollo x 30,5 Mts
- Paso: 3/8 PICCO
- Espesor: 1,3 mm (0,05'')
- Angulo Afilado 30°";324.050,00;15
Black Panther;BP-RCM1M;Cadena para motosierra 3/8,0.5, 1.3 mm POR METRO- Black Panther BP-RCM1M ;Consumibles;;10.625,00;13
Black Panther;BP-CLF20MM;Caja de Clavos F20mm - Calibre 18 (1,25 x 1 mm) - Caja 5000pcs  - Black Panther BP-CLF20MM ;Consumibles;;4.959,00;97
Black Panther;BP-CLF25MM;Caja de Clavos F25mm - Calibre 18 (1,25 x 1 mm) - Caja 5000pcs  - Black Panther BP-CLF25MM ;Consumibles;;6.367,00;96
Black Panther;BP-CLF30MM;Caja de Clavos F30mm - Calibre 18 (1,25 x 1 mm) - Caja 5000pcs  - Black Panther BP-CLF30MM ;Consumibles;;7.640,00;85
Black Panther;BP-CLF35MM;Caja de Clavos F35mm- calibre 18 (1,25 x 1 mm) - caja 5000pcs  - black panther bp-clf35mm ;Consumibles;;8.713,00;91
Black Panther;BP-CLF40MM;Caja de Clavos F40mm- calibre 18 (1,25 x 1 mm) - caja 5000pcs  - black panther bp-clf40mm ;Consumibles;;10.053,00;85
Black Panther;BP-CLF45MM;Caja de Clavos F45mm- calibre 18 (1,25 x 1 mm) - caja 5000pcs  - black panther bp-clf45mm ;Consumibles;;11.192,00;97
Black Panther;BP-CLF50MM;Caja de Clavos F50mm- calibre 18 (1,25 x 1 mm) - caja 5000pcs  - black panther bp-clf50mm ;Consumibles;;12.466,00;31
Black Panther;BP-D52CC_R0010;Caja de engranajes 9 estrias Black Panther ;Repuestos;Codigo anterior: BP-D52CC_REP.1;23.268,00;16
Black Panther;BP-CH16P;Caja de herramientas 16'' / traba plástica  - Black Panther BP-CH16P ;Almacenamiento_Cajas de herramientas;;25.256,00;42
Black Panther;BP-CH16M;Caja de herramientas 16'' / traba metálica  - Black Panther BP-CH16M ;Almacenamiento_Cajas de herramientas;;30.808,00;84
Black Panther;BP-CH19M;Caja de herramientas 19'' / traba metálica  - Black Panther BP-CH19M ;Almacenamiento_Cajas de herramientas;;46.050,00;106
Black Panther;BP-CH20MA;Caja de herramientas 20'' / traba metálica  - Black Panther BP-CH20MA ;Almacenamiento_Cajas de herramientas;;101.235,00;74
Black Panther;BP-CH22M;Caja de herramientas 22'' / traba metálica  - Black Panther BP-CH22M ;Almacenamiento_Cajas de herramientas;;65.785,00;57
Black Panther;BP-CH12L;Caja organizadora heavy duty para almacenaje 12l - black panther bp-ch12l ;Almacenamiento_Cajas de herramientas;"- Material: Plastico de alta calidad
- Medidas: 38.5x29.5x17.5cm
- Cantidad de compartimientos: 1
- Capacidad: 12l
- Material de las cerraduras: plastico de alta caldiad
- Ideal para la oficina y el hogar
- Para uso interior y exterior";14.387,00;2
Black Panther;BP-CH18L;Caja Organizadora Heavy Duty Para Almacenaje 18l - Black Panther BP-CH18L ;Almacenamiento_Cajas de herramientas;"- Material: Plástico de alta calidad
- Medidas: 38.5x29.5x26cm
- Cantidad de compartimientos: 1
- Capacidad: 18l
- Material de las cerraduras: plástico de alta calidad
- Ideal para la oficina y el hogar
- Para uso interior y exterior";17.755,00;7
Black Panther;BP-CHG3;Caja organizadora plástica 3 pisos - Black Panther Bp-chg3 ;Almacenamiento_Cajas de herramientas;"- Cantidad de compartimientos: 15
- Material: Plástico
- Color: Negro
- Manija: Si";35.594,00;31
Black Panther;BP-CHG4;Caja organizadora plástica 4 pisos - Black Panther Bp-chg4 ;Almacenamiento_Cajas de herramientas;"- Cantidad de compartimientos: 20
- Material: Plástico
- Color: Negro
- Manija: Si";42.321,00;39
Black Panther;BP-CHG5;Caja organizadora plástica 5 pisos - Black Panther Bp-chg5 ;Almacenamiento_Cajas de herramientas;"- Cantidad de compartimientos: 21
- Material: Plástico
- Color: Negro
- Manija: Si";47.219,00;27
Black Panther;BP-CH13M;Caja Plastica 13''/traba metalica  - black panther bp-ch13m ;Almacenamiento_Cajas de herramientas;;18.446,00;50
Black Panther;BP-CH13P;Caja Plastica 13'/traba plastica  - black panther bp-ch13p ;Almacenamiento_Cajas de herramientas;;14.955,00;17
Black Panther;BP-MARSET01;Caja Plástica 19 Piezas x 1~10mm-  Black Panther BP-MARSET01 ;Herramientas manuales_Juegos de mechas;;60.379,00;29
Black Panther;BP-MARSET02;Caja Plástica 25 Piezas x 1~13mm - Black Panther BP-MARSET02 ;Herramientas manuales_Juegos de mechas;;108.638,00;6
Black Panther;RING-350/4;Camara de Repuesto 350/4 ;Repuestos;;3.725,00;8
Black Panther;RING-350/8;Camara de Repuesto 350/8 ;Repuestos;;3.911,00;8
Black Panther;BP-CB20M;Candado de bronce de 3 llaves de bronce de 20mm - Black Panther BP-CB20M ;Seguridad industrial_Candados;;3.550,00;196
Black Panther;BP-CB25M;Candado de bronce de 3 llaves de bronce de 25mm - Black Panther BP-CB25M ;Seguridad industrial_Candados;;4.988,00;205
Black Panther;BP-CB30M;Candado de bronce de 3 llaves de bronce de 30mm - Black Panther BP-CB30M ;Seguridad industrial_Candados;;7.193,00;315
Black Panther;BP-CB40M;Candado de bronce de 3 llaves de bronce de 40mm - Black Panther BP-CB40M ;Seguridad industrial_Candados;;10.396,00;149
Black Panther;BP-CB50M;Candado de bronce de 3 llaves de bronce de 50mm - Black Panther BP-CB50M ;Seguridad industrial_Candados;;16.276,00;56
Black Panther;BP-CP25;Candado de hierro bronceado heavy duty de 25mm - Black Panther BP-CP25 ;Seguridad industrial_Candados;;1.926,00;310
Black Panther;BP-CP30;Candado de hierro bronceado heavy duty de 30mm - Black Panther BP-CP30 ;Seguridad industrial_Candados;;2.490,00;120
Black Panther;BP-CP40;Candado de hierro bronceado heavy duty de 40mm - Black Panther BP-CP40 ;Seguridad industrial_Candados;;3.051,00;375
Black Panther;BP-CP50;Candado de hierro bronceado heavy duty de 50mm - Black Panther BP-CP50 ;Seguridad industrial_Candados;;4.377,00;50
Black Panther;BP-PAI0004;Caramelera de Puntas 2'' (50mm) PH2 con 100 Unidades ;Herramientas manuales_Sets de puntas;;80.695,00;12
Black Panther;BP-D52CC_R0015;Carburador para desmalezadora 52cc  - Black Panther BP-D52CC_REP.4 ;Repuestos;Codigo anterior: BP-D52CC_REP.4;25.373,00;17
Black Panther;BP-HBCA2A;Cargador para baterias - Black Panther BP-HBCA2A ;Accesorios;"- Tensión: 100-240Vca~
- Frecuencia: 50/60Hz
- Potencia de Consumo: 43W
- Tensión de Salida: 21Vcc
- Corriente entregada: 2.0A";26.022,00;263
Black Panther;BP-CPP150;Carro Plegable con Plataforma 150 kg -Ruedas PVC 100*38mm - Plataforma 72*48 cm ;Construccion_Carga;;76.659,00;5
Black Panther;BP-CPP300;Carro Plegable con Plataforma 300 kg - Ruedas PVC 125*38mm - Plataforma 90*60 cm ;Construccion_Carga;;91.836,00;4
Black Panther;BP-CHPRO;Carro porta herramientas móvil metal - black panther bp-chpro ;Construccion_Carga;"- Doble Traba Metálica + Organizador
- Hebillas metálicas soporta peso extra y tiene más vida útil
- Tapa de los organizadores para almacenar tornillos y componentes mas pequeños
- Bandeja extraíble ideal para almacenar las herramientas más utilizadas
- Mango con empuñadura suave
- Largo: 42 cm
- Profundidad: 40 cm
- Ancho: 62.5 cm
- Con ruedas: Sí";150.997,00;19
Black Panther;BP-CHPRO2;Carro porta herramientas/pp/traba metalica medida 425x330x625  - black panther bp-chpro2 ;Construccion_Carga;MEDIDA 425X330X625;153.171,00;26
Black Panther;BP-BH001;Cartuchera de Herramientas 13x4x25cm ;Almacenamiento_Bolsos y mochilas;;11.813,00;48
Black Panther;BP-CMA160;Cepillo de Alambre Mano Mango Plástico con Espatula-Filas 9x19-330x25mm-Largo 160mm ;Accesorios;;2.902,00;89
Black Panther;BP-CCIRR150;Cepillo de Circular Rizado 150mm-6000rpm-Buje 32mm (que incluyen Bujes) ;Accesorios;;12.125,00;36
Black Panther;BP-CCIRR175;Cepillo de Circular Rizado 175mm-6500rpm-Buje 32mm ;Accesorios;;14.379,00;46
Black Panther;BP-CCIRR200;Cepillo de Circular Rizado 200mm-4500rpm-Buje 32mm ;Accesorios;;17.066,00;30
Black Panther;BP-CCONR115;Cepillo de Conico Rizado 115mm-8500rpm-m10x1.5,m14x2.5/8''-11 ;Accesorios;;5.379,00;135
Black Panther;BP-CCR065;Cepillo de Copa Rizado 65mm-12500rpm-16,m10x15,m14x2.5/8''-11 ;Accesorios;;3.479,00;141
Black Panther;BP-CCR075;Cepillo de Copa Rizado 75mm-12500rpm-16,m10x15,m14x2.5/8''-12 ;Accesorios;;3.614,00;58
Black Panther;BP-CCT065;Cepillo de Copa Trenzado 65mm-12500rpm-16,m10x15,m14x2.5/8''-11 ;Accesorios;;3.663,00;66
Black Panther;BP-CCT075;Cepillo de Copa Trenzado 75mm-12500rpm-16,m10x15,m14x2.5/8''-12 ;Accesorios;;5.112,00;63
Black Panther;BP-CMA125;Cepillo de Mano Mango Plastico - 125mm ;Accesorios;;1.996,00;454
Black Panther;BP-C17250SDSP;Cincel Punta Cuerpo Hexagonal SDS Plus // Colgante  1 Unidad - 17x250 ;Accesorios;;3.399,00;3
Black Panther;NO-63;CLAVIJA HEMBRA WM-4002 - 35-50MM  - Black Panther NO-63 ;Accesorios;;1.396,00;18
Black Panther;NO-64;CLAVIJA MACHO WM4009M-35-50MM  - Black Panther NO-64 ;Accesorios;;1.590,00;22
Black Panther;BP-CES2550MM;Clavo Electrosoldado 25 x 50 mm - Caja 9000pcs (30 rollos de 300pcs) - Black Panther BP-CES2550MM ;Consumibles;;73.807,00;9
Black Panther;BP-CES2563MM;Clavo Electrosoldado 25 x 63 mm - Caja 9000pcs (30 rollos de 300Pcs) - Black Panther BP-CES2563MM ;Consumibles;;82.070,00;10
Black Panther;BP-HBLLI350COMBO;Combo Llave Impacto 20V Brushless enc. 1/2 (BP-HBLLI350) + Cargador 20V (BP-HBCA2A) + 1 Bateria 4.0 ah (BP-HBBT4A) ;Ofertas y Promociones;"- Codigos que componen:
- BP-HBLLI350 Llave Impacto
- BP-HBCA2A Cargador 
- BP-HBBT4A Bateria 4ah";166.641,00;1
Black Panther;BP-HBRM28JCOMBO;Combo Rotomartillo 20V Brushless 2.8 + Cargador 20V (BP-HBCA2A) + 1 Bateria 4.0 ah (BP-HBBT4A) ;Ofertas y Promociones;"- Codigos que componen:
- BP-HBRM28J Rotomartillo
- BP-HBCA2A Cargador 
- BP-HBBT4A Bateria 4ah";226.300,00;1
Black Panther;BP-C25100B;Compresor 100L - 2,5 hp - Black Panther BP-C25100B ;Herramientas electricas_Compresores;;350.967,00;13
Black Panther;BP-C20100BBM;Compresor a Correa 2HP  100 Lts - Black Panther - BP-C20100BBM ;Herramientas electricas_Compresores;"- Voltaje: 220v  50hz
- Motor de: 2hp
- Tanque: 100 Litros
- Caudal: 186 L/Min
- Presión Máxima: 8 Mpa ? 115 psi
- Doble Salida de Aire
- Doble Manómetro
- Regulador de Presión
- Protector térmico
- Realizado en pintura epoxi de alta resistencia
";706.170,00;4
Black Panther;BP-C30150BB;Compresor a Correa 380V-50HZ - 3.0 HP 2200W - 150L - Black panther BP-C30150BB ;Herramientas electricas_Compresores;"- Compresor de Aire Black Panther a Correa 150L trifásico.
- Motor de 3hp (380v).
- Capacidad 150 litros.
- Caudal 350 l/min.
- Velocidad: 1150 v/min.
- Presión Máxima: 0.8MpPa.
- Protector de correa y ruedas macizas.
- Peso 110kg.";846.541,00;4
Black Panther;BP-C50300BB;Compresor a Correa 380V-50HZ - 5.0 HP 3750W - 300L - Black Panther BP-C50300BB ;Herramientas electricas_Compresores;"- Voltaje: 380 V
- Frecuencia: 50 Hz
- Motor: 3750 W / 5 HP
- Caudal: 572 l/min
- Velocidad: n0=750/min
- Capacidad del Tanque: 300 Litros
- Presión Máxima: 0.8 MPa
- Peso: 221 Kg";1.312.351,00;1
Black Panther;BP-C100500BB;Compresor a Correa 380V-50HZ 10 HP (7500W) 500 Lts 8 Bar - Black Panther BP-C100500BB ;Herramientas electricas_Compresores;"Especificaciones de producto
Voltaje: 380 V3N
Frecuencia: 50 Hz
Motor: 7500 W/ 10 Hp
Caudal: 984 L/min
Velocidad: 860 RPM
Capacidad del tanque: 500 L
Presión máxima: 0,8 MPa
Peso: 287 KG";2.409.445,00;1
Black Panther;BP-C40200BB;Compresor a Correa 380V-50HZ 4.0 HP 200 Lts 8 Bar - Black Panther BP-C40200BB ;Herramientas electricas_Compresores;"Voltaje: 220 V
Frecuencia: 50 Hz
Capacidad del tanque: 100 L
Potencia del motor: 4,0 Hp / 3000 W
Caudal: 310 L/min
Velocidad: 2800 RPM
Presión máxima: 0,8 Mpa
Peso: 75 kg";1.118.795,00;6
Black Panther;BP-C30150BBM;Compresor a Correa 3hp - 150lts - Black Panther - BP-C30150BBM ;Herramientas electricas_Compresores;"- Caudal de 350 l/min
- Velocidad: 1150 v/min
- Protector de correa y ruedas macizas
- Peso 110kg";812.509,00;6
Black Panther;BP-C65150BBN;Compresor a Correa Naftero - 6.5 HP (4875W) - 150L  - Black Panther BP-C65150BBN ;Herramientas electricas_Compresores;"Motor: naftero
Tipo: 4 tiempos
Potencia: 4875 W/ 6,5 Hp
Caudal: 320 L/min
Velocidad: 1050 RPM
Capacidad del tanque: 150 L
Presión máxima: 0,8 MPa
Peso: 103 kg";991.176,00;3
Black Panther;BP-C2550B;Compresor Mando Directo 2,5 HP - 50 Litros  - Black Panther BP-C2550B ;Herramientas electricas_Compresores;;223.514,00;214
Black Panther;BP-C40100B;Compresor Mando Directo 4HP  100 Lts Bicilindrico - Black Panther BP-C40100B ;Herramientas electricas_Compresores;"- Voltaje: 220v - 50hz
- Motor de: 4hp
- Potencia: 3000w
- Tanque: 100 Litros
- Caudal: 11 CFM - 310 L/Min
- Presión Máxima: 8 Mpa - 115 psi
- Presión Máxima: 80 bar
- Doble Salida de Aire
- Doble Manómetro
- Regulador de Presión
- Protector térmico
- Realizado en pintura epoxi de alta resistencia
- Medidas: 77x86x45cm";514.731,00;6
Black Panther;BP-MD115DA;Copa Diamantada - 115mm-13300 rpm- ;Accesorios;;13.799,00;39
Black Panther;BP-MD115T;Copa Diamantada Turbo - 115mm-13300rpm ;Accesorios;;13.799,00;68
Black Panther;BP-CF300MM;Corta Frio con Cabo con Goma  x 18mm 300 mm x 18  - Black Panther BP-CF300MM ;Herramientas manuales_Albañileria;;5.759,00;26
Black Panther;BP-CF350MM;Corta Frio con Cabo con Goma x 18mm 350 mm x 18  - Black Panther BP-CF350MM ;Herramientas manuales_Albañileria;;6.180,00;30
Black Panther;BP-CUTT18M;Cutter Metalico Retractil 18MM Incluye 5 Cuchillas ;Herramientas manuales_Corte y desbaste;#¿NOMBRE?;3.881,00;125
Black Panther;BP-CUTT18P;Cutter Plástico Retractil 18MM Incluye 3 Cuchillas ;Herramientas manuales_Corte y desbaste;"- Grip de goma para mejor agarre
- Cuchilla punta removible 18mm
- Mando retráctil con bloqueo automático
- Seguro para acceso a porta cuchillas";3.171,00;137
